data;indice;valor
2012-03-02;IFNC;4009.83
2012-03-02;IMAT;1928.47
2012-03-02;IMOB;938.11
2012-03-02;INDX;11237.72
2012-03-02;UTIL;3253.16
2012-03-05;ICON;1951.00
2012-03-05;IFNC;3976.99
2012-03-05;IMAT;1900.88
2012-03-05;IMOB;936.64
2012-03-05;INDX;11188.81
2012-03-05;UTIL;3275.52
2012-03-06;ICON;1931.00
2012-03-06;IFNC;3887.27
2012-03-06;IMAT;1824.27
2012-03-06;IMOB;913.75
2012-03-06;INDX;10952.90
2012-03-06;UTIL;3234.87
2012-03-07;ICON;1962.00
2012-03-07;IFNC;3947.22
2012-03-07;IMAT;1823.73
2012-03-07;IMOB;950.02
2012-03-07;INDX;11142.89
2012-03-07;UTIL;3241.04
2012-03-08;ICON;2001.00
2012-03-08;IFNC;4007.74
2012-03-08;IMAT;1847.57
2012-03-08;IMOB;975.27
2012-03-08;INDX;11316.46
2012-03-08;UTIL;3244.63
2012-03-09;ICON;2008.00
2012-03-12;ICON;2012.00
2012-03-12;IFNC;4014.03
2012-03-12;IMAT;1862.78
2012-03-12;IMOB;959.57
2012-03-12;INDX;11430.14
2012-03-12;UTIL;3290.27
2012-03-13;ICON;2037.00
2012-03-13;IFNC;4060.17
2012-03-13;IMAT;1947.96
2012-03-13;IMOB;975.00
2012-03-13;INDX;11715.29
2012-03-13;UTIL;3345.82
2012-03-14;ICON;2030.00
2012-03-14;IFNC;4054.96
2012-03-14;IMAT;1970.34
2012-03-14;IMOB;958.69
2012-03-14;INDX;11755.57
2012-03-14;UTIL;3339.40
2012-03-15;ICON;2015.00
2012-03-15;IFNC;4036.28
2012-03-15;IMAT;1969.54
2012-03-15;IMOB;944.67
2012-03-15;INDX;11675.71
2012-03-15;UTIL;3314.12
2012-03-16;ICON;2007.00
2012-03-16;IFNC;4050.45
2012-03-16;IMAT;1975.69
2012-03-16;IMOB;931.98
2012-03-16;INDX;11602.56
2012-03-16;UTIL;3286.87
2012-03-19;ICON;2020.00
2012-03-19;IFNC;4034.39
2012-03-19;IMAT;1976.90
2012-03-19;IMOB;923.80
2012-03-19;INDX;11638.63
2012-03-19;UTIL;3301.51
2012-03-20;ICON;2013.00
2012-03-20;IFNC;3990.58
2012-03-20;IMAT;1954.90
2012-03-20;IMOB;929.24
2012-03-20;INDX;11594.19
2012-03-20;UTIL;3298.36
2012-03-21;ICON;2013.00
2012-03-21;IFNC;3959.54
2012-03-21;IMAT;1921.47
2012-03-21;IMOB;922.95
2012-03-21;INDX;11531.18
2012-03-21;UTIL;3291.17
2012-03-22;ICON;2000.00
2012-03-22;IFNC;3893.85
2012-03-22;IMAT;1885.42
2012-03-22;IMOB;904.24
2012-03-22;INDX;11396.84
2012-03-22;UTIL;3278.00
2012-03-23;ICON;2010.00
2012-03-23;IFNC;3886.64
2012-03-23;IMAT;1907.96
2012-03-23;IMOB;910.95
2012-03-23;INDX;11464.73
2012-03-23;UTIL;3266.49
2012-03-26;ICON;2065.00
2012-03-26;IFNC;3946.50
2012-03-26;IMAT;1931.61
2012-03-26;IMOB;921.36
2012-03-26;INDX;11713.57
2012-03-26;UTIL;3312.46
2012-03-27;ICON;2057.00
2012-03-27;IFNC;3945.24
2012-03-27;IMAT;1897.68
2012-03-27;IMOB;905.08
2012-03-27;INDX;11551.95
2012-03-27;UTIL;3324.95
2012-03-28;ICON;2019.00
2012-03-28;IFNC;3872.44
2012-03-28;IMAT;1857.12
2012-03-28;IMOB;900.79
2012-03-28;INDX;11322.68
2012-03-28;UTIL;3304.97
2012-03-29;ICON;2018.00
2012-03-29;IFNC;3823.59
2012-03-29;IMAT;1868.27
2012-03-29;IMOB;894.39
2012-03-29;INDX;11351.26
2012-03-29;UTIL;3303.90
2012-03-30;ICON;2003.00
2012-03-30;IFNC;3788.57
2012-03-30;IMAT;1860.62
2012-03-30;IMOB;893.07
2012-03-30;INDX;11238.63
2012-03-30;UTIL;3316.03
2012-04-02;ICON;2036.00
2012-04-02;IFNC;3828.96
2012-04-02;IMAT;1907.82
2012-04-02;IMOB;893.51
2012-04-02;INDX;11399.34
2012-04-02;UTIL;3395.48
2012-04-03;ICON;2032.00
2012-04-03;IFNC;3793.69
2012-04-03;IMAT;1872.07
2012-04-03;IMOB;890.19
2012-04-03;INDX;11291.28
2012-04-03;UTIL;3344.00
2012-04-04;ICON;2018.00
2012-04-04;IFNC;3703.53
2012-04-04;IMAT;1843.05
2012-04-04;IMOB;899.11
2012-04-04;INDX;11248.21
2012-04-04;UTIL;3322.36
2012-04-05;ICON;2016.00
2012-04-05;IFNC;3665.72
2012-04-05;IMAT;1844.59
2012-04-05;IMOB;901.76
2012-04-05;INDX;11244.51
2012-04-05;UTIL;3349.26
2012-04-09;ICON;2003.00
2012-04-09;IFNC;3634.74
2012-04-09;IMAT;1829.57
2012-04-09;IMOB;880.98
2012-04-09;INDX;11139.59
2012-04-09;UTIL;3330.31
2012-04-10;ICON;1980.00
2012-04-10;IFNC;3603.82
2012-04-10;IMAT;1803.88
2012-04-10;IMOB;864.31
2012-04-10;INDX;11014.70
2012-04-10;UTIL;3328.48
2012-04-11;ICON;1969.00
2012-04-11;IFNC;3593.62
2012-04-11;IMAT;1795.53
2012-04-11;IMOB;842.25
2012-04-11;INDX;10987.09
2012-04-11;UTIL;3305.95
2012-04-12;ICON;1996.00
2012-04-12;IFNC;3691.42
2012-04-12;IMAT;1849.46
2012-04-12;IMOB;853.96
2012-04-12;INDX;11173.63
2012-04-12;UTIL;3319.77
2012-04-13;ICON;1984.00
2012-04-13;IFNC;3588.17
2012-04-13;IMAT;1835.92
2012-04-13;IMOB;834.71
2012-04-13;INDX;11066.15
2012-04-13;UTIL;3291.51
2012-04-16;ICON;1994.00
2012-04-16;IFNC;3557.13
2012-04-16;IMAT;1822.04
2012-04-16;IMOB;843.76
2012-04-16;INDX;11098.27
2012-04-16;UTIL;3297.07
2012-04-17;ICON;2028.00
2012-04-17;IFNC;3559.95
2012-04-17;IMAT;1857.22
2012-04-17;IMOB;856.76
2012-04-17;INDX;11304.93
2012-04-17;UTIL;3298.19
2012-04-18;ICON;2048.00
2012-04-18;IFNC;3557.92
2012-04-18;IMAT;1901.48
2012-04-18;IMOB;860.03
2012-04-18;INDX;11455.50
2012-04-18;UTIL;3328.73
2012-04-19;ICON;2057.00
2012-04-19;IFNC;3570.04
2012-04-19;IMAT;1880.31
2012-04-19;IMOB;859.72
2012-04-19;INDX;11448.10
2012-04-19;UTIL;3331.65
2012-04-20;ICON;2062.00
2012-04-20;IFNC;3584.84
2012-04-20;IMAT;1883.96
2012-04-20;IMOB;845.25
2012-04-20;INDX;11438.31
2012-04-20;UTIL;3336.22
2012-04-23;ICON;2019.00
2012-04-23;IFNC;3553.75
2012-04-23;IMAT;1849.68
2012-04-23;IMOB;822.76
2012-04-23;INDX;11198.81
2012-04-23;UTIL;3335.70
2012-04-24;ICON;2032.00
2012-04-24;IFNC;3551.75
2012-04-24;IMAT;1868.13
2012-04-24;IMOB;825.64
2012-04-24;INDX;11319.26
2012-04-24;UTIL;3376.93
2012-04-25;ICON;2038.00
2012-04-25;IFNC;3459.66
2012-04-25;IMAT;1865.63
2012-04-25;IMOB;834.69
2012-04-25;INDX;11372.51
2012-04-25;UTIL;3394.91
2012-04-26;ICON;2052.00
2012-04-26;IFNC;3488.13
2012-04-26;IMAT;1872.80
2012-04-26;IMOB;848.26
2012-04-26;INDX;11415.35
2012-04-26;UTIL;3388.90
2012-04-27;ICON;2065.00
2012-04-27;IFNC;3492.78
2012-04-27;IMAT;1862.02
2012-04-27;IMOB;832.54
2012-04-27;INDX;11353.78
2012-04-27;UTIL;3411.75
2012-04-30;ICON;2055.00
2012-04-30;IFNC;3522.65
2012-04-30;IMAT;1863.09
2012-04-30;IMOB;829.79
2012-04-30;INDX;11287.34
2012-04-30;UTIL;3442.61
2012-05-02;ICON;2056.00
2012-05-02;IFNC;3494.60
2012-05-02;IMAT;1867.58
2012-05-02;IMOB;845.98
2012-05-02;INDX;11269.56
2012-05-02;UTIL;3439.72
2012-05-03;ICON;2060.00
2012-05-03;IFNC;3483.59
2012-05-03;IMAT;1844.85
2012-05-03;IMOB;864.55
2012-05-03;INDX;11279.82
2012-05-03;UTIL;3405.36
2012-05-04;ICON;2030.00
2012-05-04;IFNC;3448.81
2012-05-04;IMAT;1775.72
2012-05-04;IMOB;864.89
2012-05-04;INDX;11039.91
2012-05-04;UTIL;3389.19
2012-05-07;ICON;2049.00
2012-05-07;IFNC;3471.07
2012-05-07;IMAT;1777.78
2012-05-07;IMOB;866.55
2012-05-07;INDX;11133.12
2012-05-07;UTIL;3427.51
2012-05-08;ICON;2016.00
